,dates,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50
0,1986-02-03,slave-to-the-traffic-light,mikes-song,daves-energy-guide,you-enjoy-myself,alumni-blues,letter-to-jimmy-page,prep-school-hippie,run-like-an-antelope,tonight,the-pendulum,babylon-is-burning,dec-1661,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1986-02-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,1986-04-01,quinn-the-eskimo,have-mercy,harry-hood,the-pendulum,daves-energy-guide,icculus,you-enjoy-myself,help-on-the-way,slipknot,acdc-bag,mcgrupp-and-the-watchful-hosemasters,alumni-blues,letter-to-jimmy-page,dear-mrs-reagan,not-fade-away,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,1986-04-15,acdc-bag,dear-mrs-reagan,prep-school-hippie,quinn-the-eskimo,slave-to-the-traffic-light,makisupa-policeman,have-mercy,all-blues,dog-log,possum,you-enjoy-myself,anarchy,camel-walk,alumni-blues,letter-to-jimmy-page,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,1986-04-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,1986-05-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,1986-05-17,halleys-comet,back-porch-boogie-blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,1986-05-24,dog-log,halleys-comet,back-porch-boogie-blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,1986-06-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,1986-09-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,1986-09-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,1986-09-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,1986-10-12,golgi-apparatus,slave-to-the-traffic-light,wilson,halleys-comet,possum,sneakin-sally-through-the-alley,makisupa-policeman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,1986-10-15,alumni-blues,makisupa-policeman,skin-it-back,cities,i-am-hydrogen,mcgrupp-and-the-watchful-hosemasters,acdc-bag,you-enjoy-myself,lushington,peaches-en-regalia,golgi-apparatus,swing-low-sweet-chariot,camel-walk,shaggy-dog,mustang-sally,fluffhead,sneakin-sally-through-the-alley,wilson,slave-to-the-traffic-light,quinn-the-eskimo,mikes-song,have-mercy,harry-hood,roll-like-a-cantaloupe,sanity,anarchy,clod,,,,,,,,,,,,,,,,,,,,,,,
14,1986-10-31,mustang-sally,camel-walk,golgi-apparatus,slave-to-the-traffic-light,melt-the-guns,sneakin-sally-through-the-alley,halleys-comet,back-porch-boogie-blues,shaggy-dog,fluffhead,jam,acdc-bag,swing-low-sweet-chariot,peaches-en-regalia,david-bowie,have-mercy,harry-hood,sanity,skin-it-back,icculus,alumni-blues,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,1986-11-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,1986-11-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,1986-11-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,1986-12-06,funky-bitch,possum,peaches-en-regalia,makisupa-policeman,fluffhead,i-know-a-little,golgi-apparatus,slave-to-the-traffic-light,shaggy-dog,light-up-or-leave-me-alone,camel-walk,jam,swing-low-sweet-chariot,back-porch-boogie-blues,icculus,mcgrupp-and-the-watchful-hosemasters,good-times-bad-times,skin-it-back,cities,mikes-song,the-little-drummer-boy,whipping-post,she-caught-the-katy-and-left-me-a-mule-to-ride,acdc-bag,david-bowie,clod,you-enjoy-myself,dog-log,tush,sneakin-sally-through-the-alley,prep-school-hippie,,,,,,,,,,,,,,,,,,,
19,1987-01-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,1987-01-21,wilson,i-am-hydrogen,peaches-en-regalia,swing-low-sweet-chariot,sneakin-sally-through-the-alley,makisupa-policeman,skin-it-back,cities,fluffhead,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1987-02-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,1987-02-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
